review_rating,review_body,Cleaned_Review
1,"They originally shipped me the wrong color. I let them know and they sent me the correct one, no problem. I am very happy with the size, color, ease of zipping, and number of pockets.",originally shipped wrong color let know sent correct one problem happy size color ease zipping number pockets
1,It was very nice looks and feel. It is very practical and durables. It did survived international trip made it well.,nice looks feel practical durables survived international trip made well
1,"I travel frequently and have ordered several styles of cosmetics pouches, hanging bags, etc. to find the best solution for me. Finally found the one! This holds brushes, skincare and makeup, and I love the zipper pocket and smaller side pockets. I keep this on my vanity for everyday use as well. Don’t hesitate to order. Ordered pink and color is great.",travel frequently ordered several styles cosmetics pouches hanging bags et find best solution finally found one holds brushes skincare makeup love zipper pocket smaller side pockets keep vanity everyday use well hesitate order ordered pink color great
0,I have the bag in camel and use it as a daily travel bag - it’s been fully loaded to max capacity for two years now and holding up very well.Just got my husband a black one to use as his toiletries travel bag - he really likes it,bag camel use daily travel bag fully loaded man capacity two years holding well got husband black one use toiletries travel bag really likes
1,"I really like this makeup bag. When it's open, I can see everything, I can more easily find what I'm looking for, and am more inclined to use all my products more often. I like the way the bag stays open, making it easier to find what I'm looking for. Protects makeup and helps keep it organized. Smooth zipper, handle is comfortable to hold.I have no complaints about this great bag. The makeup bag is a decent size, not too big or too small to take up too much space on my side. Fast shipping and well packaged. Looks as I expected.",really like makeup bag open see everything easily find looking inclined use products often like way bag stays open making easier find looking protects makeup helps keep organized smooth zipper handle comfortable hold complaints great bag makeup bag decent size big small take much space side fast shipping well packaged looks expected
1,"Great multipurpose bag!!! This one can be used as more than a makeup bag, you can put anything you want, especially the compartments in the bag are better than any makeup bag I have ever bought, it will not clutter your things!!! I love it! Great value for style and quality, bigger than I thought it could hold a lot of stuff, but doesn't take up much space when folded up and carried out the door, all other toiletry bags I've looked at are much more expensive. Buy them you will not be disappointed, I will probably order more. For the price, all I can say is great value for money!!!",great multipurpose bag one used makeup bag put anything want especially compartments bag better makeup bag ever bought clutter things love great value style quality bigger thought could hold lot stuff take much space folded carried door toiletry bags looked much expensive buy disappointed probably order price say great value money
1,Perfect size for all your travel needs.,perfect size travel needs
1,A lot fits in it. I love it.,lot fits love
1,This holds so much stuff! I was pleasantly surprised at what all I could fit. Color is beautiful too!,holds much stuff pleasantly surprised could fit color beautiful
0,I use this makeup bag as my permanent makeup bag as well as travel bag. It is very nice and convenient to zip it up and take it with you. I searched to find the best price and value and this definitely fit my needs! I haven’t tried cleaning the inside but the outside wipes down nicely.,use makeup bag permanent makeup bag well travel bag nice convenient zip take searched find best price value definitely fit needs tried cleaning inside outside wipes nicely
1,Very convenient and handy. From everyday packaing use to that vacation. Love how handy and reuseable they are.,convenient handy everyday packing use vacation love handy reusable
1,the fact that it completely opens up so you can see what's inside the bag without taking everything out is just what I was looking for. Good product.,fact completely opens see inside bag without taking everything looking good product
0,"i like the color and shape of the bag but the middle of the bag doesn’t come up far enough so when you close it, all of the products you put in it on the side that’s closest to the top falls into the other compartment. the pockets are very loose too so i feel that anything you put in them will also fall out.",like color shape bag middle bag come far enough close products put side closest top falls compartment pockets loose feel anything put also fall
0,This is a great bag but was hoping it would be larger. Hard to zip close.,great bag hoping would larger hard zip close
1,The media could not be loaded.I love the color the quality and the size,media could loaded love color quality size
1,"Great buy - I got a lot of compliments on this Makeup bag, I made them work without too much trouble.Its bag is made of a good material and is definitely worth the money! This makeup bag worked out great. Good size and I like the pockets for brushes plus the additional smaller makeup bag to put inside for hard to find items. I can hold all my cosmetics and skin care products, the partition is obvious, I can put the cosmetics and skin care products separately, and they will not be messed up.",great buy got lot compliments makeup bag made work without much trouble bag made good material definitely worth money makeup bag worked great good size like pockets brushes plus additional smaller makeup bag put inside hard find items hold cosmetics skin care products partition obvious put cosmetics skin care products separately messed
1,Opens wide for easy access. Very cute and vivid colors.,opens wide easy access cute vivid colors
1,"Good quality and came quickly.I am a really-orderer as the design is nice for travel.When you unzip, it opens completely so you can see everything.",good quality came quickly really orderer design nice travel unzip opens completely see everything
0,I love hos much this bag holds and allow of the pockets it has!Great for Travel,love hos much bag holds allow pockets great travel
1,"Good size, light weight and held up really well carrying all of my make up especially when I was traveling around Asia for ~3 months! Did not take up so much space which I love and it’s just good on the go!",good size light weight held really well carrying make especially traveling around aria months take much space love good go
1,I bought this for my teenage daughter. It holds alot of make up and various sized make up brushes and skin care products. I bought the cream colored one and it's a really pretty color. Does not look cheap at all. I will be buying myself one now.,bought teenage daughter holds lot make various sized make brushes skin care products bought cream colored one really pretty color look cheap buying one
0,"It’s okay, not as large as I’d like and the middle portion is pretty cheaply made. You can probably find a better one elsewhere.",okay large would like middle portion pretty cheaply made probably find better one elsewhere
0,The color is super cute just not what I thought I was buying!,color super cute thought buying
1,I’ve taken several trips with this bag! It’s kept all my items organized and seems to be the perfect amount of compartments! I used one side for makeup and the other for light toiletries!,taken several trips bag kept items organized seems perfect amount compartments used one side makeup light toiletries
