reviews,sentiment,probability
originally shipped wrong color let know sent correct one problem happy size color ease zipping number pockets,POSITIVE,0.7968021631240845
nice looks feel practical durables survived international trip made well,POSITIVE,0.9818955063819885
travel frequently ordered several styles cosmetics pouches hanging bags et find best solution finally found one holds brushes skincare makeup love zipper pocket smaller side pockets keep vanity everyday use well hesitate order ordered pink color great,POSITIVE,0.9877021908760071
bag camel use daily travel bag fully loaded man capacity two years holding well got husband black one use toiletries travel bag really likes,POSITIVE,0.9635663032531738
really like makeup bag open see everything easily find looking inclined use products often like way bag stays open making easier find looking protects makeup helps keep organized smooth zipper handle comfortable hold complaints great bag makeup bag decent size big small take much space side fast shipping well packaged looks expected,POSITIVE,0.9818605184555054
great multipurpose bag one used makeup bag put anything want especially compartments bag better makeup bag ever bought clutter things love great value style quality bigger thought could hold lot stuff take much space folded carried door toiletry bags looked much expensive buy disappointed probably order price say great value money,POSITIVE,0.9102335572242737
perfect size travel needs,POSITIVE,0.985680103302002
lot fits love,POSITIVE,0.9841980338096619
holds much stuff pleasantly surprised could fit color beautiful,POSITIVE,0.9825958013534546
use makeup bag permanent makeup bag well travel bag nice convenient zip take searched find best price value definitely fit needs tried cleaning inside outside wipes nicely,POSITIVE,0.9773839712142944
convenient handy everyday packing use vacation love handy reusable,POSITIVE,0.9870736598968506
fact completely opens see inside bag without taking everything looking good product,POSITIVE,0.7800524234771729
like color shape bag middle bag come far enough close products put side closest top falls compartment pockets loose feel anything put also fall,NEGATIVE,0.812838613986969
great bag hoping would larger hard zip close,POSITIVE,0.911950409412384
media could loaded love color quality size,POSITIVE,0.9764791131019592
great buy got lot compliments makeup bag made work without much trouble bag made good material definitely worth money makeup bag worked great good size like pockets brushes plus additional smaller makeup bag put inside hard find items hold cosmetics skin care products partition obvious put cosmetics skin care products separately messed,POSITIVE,0.9639251828193665
opens wide easy access cute vivid colors,POSITIVE,0.9854651093482971
good quality came quickly really orderer design nice travel unzip opens completely see everything,POSITIVE,0.97928786277771
love hos much bag holds allow pockets great travel,POSITIVE,0.9875730276107788
good size light weight held really well carrying make especially traveling around aria months take much space love good go,POSITIVE,0.9875972867012024
bought teenage daughter holds lot make various sized make brushes skin care products bought cream colored one really pretty color look cheap buying one,NEGATIVE,0.8163276314735413
okay large would like middle portion pretty cheaply made probably find better one elsewhere,NEGATIVE,0.7978270649909973
color super cute thought buying,POSITIVE,0.7778661251068115
taken several trips bag kept items organized seems perfect amount compartments used one side makeup light toiletries,POSITIVE,0.9383715391159058
make bag exactly looking number compartments helps organize supplies much better zipped becomes compact think would able fit buying daughters beauty supplies,POSITIVE,0.9207102060317993
got gift budding ballerina solid easy pack bit small stage makeup dividers definite plus,POSITIVE,0.9825659990310669
perfect holding daily cosmetics plenty room love open see everything need dig anything design amazing plus softness helps maculate traveling would presume bought summer trip,POSITIVE,0.9881759881973267
wish tag ends hold zipping unzipping,NEGATIVE,0.7287140488624573
good materials pretty color spacious inside perfect carry,POSITIVE,0.9868685603141785
